STD_YM|STD_YMD|festival_no|MAN_10|MAN_20|MAN_30|MAN_40|MAN_50|MAN_60|WMAN_10|WMAN_20|WMAN_30|WMAN_40|WMAN_50|WMAN_60
201512|20151231|33|4078.73000000036|13049.4400000015|23480.9999999995|20189.8100000003|13100.4700000019|7315.13000000121|5149.64000000046|16664.0000000017|16744.7700000019|12607.160000002|8027.88000000091|5319.20000000069
201601|20160101|34|266.449999999992|466.259999999953|650.569999999915|724.579999999927|1021.7799999999|834.889999999925|172.230000000001|618.70999999994|510.759999999954|704.489999999927|805.269999999935|537.809999999957
201601|20160101|35|1042.45999999989|2405.25000000023|2940.86000000078|2778.89000000049|2403.63000000019|2168.72999999999|924.009999999902|2224.02000000002|2767.64000000061|2749.85000000059|2521.22000000043|2431.15000000031
201601|20160101|36|124.450000000005|320.709999999968|408.919999999953|417.619999999958|440.979999999963|381.789999999971|104.900000000004|290.139999999981|359.449999999966|419.919999999961|341.429999999977|290.309999999989
201601|20160101|37|1808.89999999982|3074.56000000048|5001.82000000228|4930.51000000185|5214.74000000198|4610.60000000155|1413.82999999984|3203.23000000077|4453.67000000163|4450.82000000138|4951.38000000182|4137.2400000012
201601|20160101|38|2845.68000000013|11188.7700000031|11704.9600000028|10864.2000000027|8848.790000002|7444.73000000153|4112.1700000004|13484.180000003|11134.0600000029|11063.0000000027|7542.84000000158|5865.86000000154
201602|20160208|39|498.759999999957|2037.7699999996|2726.43000000019|2562.54000000006|2360.04000000003|2228.55999999995|597.449999999929|1846.70999999962|2354.02999999991|2367.95999999995|2364.93999999999|1876.89999999972
201603|20160301|40|209103|209617|338424|481506|369755|355136|194224|267271|411416|510677|366605|347204
201603|20160327|41|41994|100489|162104|167551|158449|133042|73112|141960|149805|140062|130455|102817
201604|20160401|42|785798|1579900|2269494|2491016|2081044|1682544|1027950|1652160|2043790|2164010|2005806|1696410
201604|20160404|43|137432|730734|1745258|1987758|1709884|1439804|188130|993800|1145032|964638|838950|790376
201604|20160409|44|648628|1949574|1746326|1549760|1635452|1503254|897252|2224242|1215058|1163972|1114502|1065102
201604|20160414|45|129844|866768|2519970|2989872|2440838|1977766|155322|993986|1413966|1228132|1064094|965912
201604|20160416|46|2889510|2521364|3230472|3888546|3540184|2388754|2901562|2734978|3469662|5557872|3511076|2133326
201604|20160416|47|439394|493390|743276|892404|964268|846946|471194|698486|727018|1013296|978768|863842
201604|20160426|48|265068|1425634|2422206|3204786|2934230|2103568|346954|1549696|1572648|1600404|1342888|1057838
201605|20160501|49|42533|223375|218205|231202|240462|315564|52252|201862|164320|161303|177341|160463
201605|20160504|50|123172|272788|654906|642023|431100|299031|97423|375468|433275|340375|229932|179631
201605|20160505|51|117794|202797|255194|265698|191736|191380|95316|226832|285445|248142|158726|156992
201605|20160506|52|59889|155724|224641|227210|235528|149115|59134|149129|169978|173233|168240|122677
201605|20160506|53|82644|313561|520101|412639|322985|262796|96683|450129|505673|375163|281721|247868
201605|20160507|54|236979|1009727|522961|349999|318403|280427|305736|1058951|457697|397522|352733|257354
201605|20160507|55|57802|161089|180869|151445|146628|105800|64990|167924|158630|150003|140737|100222
201605|20160507|56|106507|356134|450610|419076|369551|346580|161552|482512|474056|447829|362051|291474
201605|20160513|57|99379|245524|586747|570344|395688|283267|80850|326709|396817|312208|214611|181515
201605|20160514|58|73666|151719|270943|273450|262868|206900|80911|186753|223964|238271|215541|166233
201605|20160514|59|115063|142128|195483|216915|193378|158529|119902|167705|176653|225200|146641|133843
201605|20160515|60|81131|124386|169706|193852|170349|165355|87529|135690|178249|201170|145360|143353
201605|20160515|61|82588|144373|230680|247042|221687|175379|73721|120773|183172|205752|169513|146879
201605|20160519|62|82513|355035|576977|731205|663305|493955|100315|399750|401827|396221|325202|250261
201605|20160520|63|200581|505775|1098766|1184602|848620|574350|243426|766253|893046|744698|513196|376389
201605|20160520|64|260698|396006|637099|717523|839323|760699|249042|409190|620889|763126|980032|770953
201605|20160527|65|164676|373054|825257|968346|746922|521780|304207|590472|698771|673209|484411|374350
201605|20160527|66|101801|473340|1090024|1196162|851937|564597|180651|738627|861514|712087|498208|357331
201605|20160528|67|59380|172604|200372|167261|160818|108598|66138|188809|168680|154455|150317|101056
201606|20160617|68|3601.76999999994|17959.0500000039|30626.130000004|27308.3400000029|25031.5400000014|19632.6300000028|3318.69999999992|19041.0900000044|23221.5500000042|21913.1600000037|19996.4200000035|13484.4900000035
201606|20160618|69|2694.51999999987|14060.6200000007|19673.530000001|17011.6500000016|15110.2100000013|13112.2300000009|3522.90000000002|18779.1500000005|19732.7400000009|17016.420000001|14782.3300000008|11064.5700000007
201606|20160618|70|2525.4400000001|8828.97000000434|7077.0400000029|6315.48000000212|6024.45000000241|5120.85000000186|3293.93000000058|14190.6600000051|7389.370000003|6805.20000000243|6137.31000000232|5091.2400000018
201606|20160618|71|2562.54000000023|4192.84000000151|6138.51000000235|6042.75000000208|4603.11000000118|4001.94000000062|3401.05000000083|5130.9500000025|5243.44000000206|5217.01000000159|3730.58000000056|3242.62000000054
201607|20160701|72|3575.68000000059|3646.69000000087|6865.69000000301|7663.57000000315|6007.08000000257|4631.60000000152|3226.9100000004|4081.82000000122|5814.69000000215|7328.7900000028|5274.05000000179|4632.6300000014
201607|20160714|73|2141.04999999978|7751.10000000507|8520.82000000463|8356.75000000322|6077.00000000251|4331.15000000123|2752.49000000033|9159.52000000542|7012.65000000384|6288.52000000261|4667.36000000173|3802.36000000085
