,축제명,태그
74,신촌댄스경연대회,['일반부' '학생' '학생부' '부' '참가자' '창작' '창작댄스' '댄스' '경연' '경연대회' '대회']
75,서대문 책으로 책축제,"['책' '빚' '나' '밤' '독서' '전시' '전시존' '존' '운영' '어른' '어른동화' '동화' '콘서트' '플'
 '플리마켓' '리' '마켓' '체험' '체험프로그램' '프로그램']"
76,제7회 도심 속 바다축제,"['먹거리' '먹거리장터' '장터' '맨손' '맨손활어잡기' '활어' '잡기' '모의' '모의경매' '경매' '바다' '바다콘서트'
 '콘서트' '체험' '체험프로그램' '프로그램' '등']"
77,"제2회 노량진의 밤 
야간난전",['젊은이' '도전' '응원' '희망' '희망등' '등' '미래' '나' '메시지' '먹거리' '장터' '등']
78,금천하모니벚꽃축제2019,"['메인' '주민' '개막' '개막공연' '공연' '우리' '동네' '동네슈퍼스타' '슈퍼스타' '등' '부대' '문화' '문화시장'
 '시장' '체험' '장터' '먹거리' '버스' '버스킹' '킹' '연계' '사생' '사생대회' '대회' '야외' '야외조각전'
 '조각' '전' '등']"
79,"정조대왕 능행차 
공동재현 행사","['행렬' '서울' '경기' '경기도' '도' '연결' '지역적' '가치' '역사적' '고증' '고증내용' '내용' '재구성'
 '부각' '격쟁' '재현' '상황' '상황극' '극' '공연' '금천' '금천구' '금천구민' '구' '민' '다양' '무대'
 '무대공연' '전통' '전통행사' '행사']"
80,제9회 금천구 북페스티벌,"['책' '도서관' '주제' '다양' '체험' '체험활동' '활동' '부스' '운영' '지역' '주민' '기증' '도서' '책장터'
 '장터' '진행' '도서관협의회' '협의회' '참여' '민' '민관' '관' '협력' '행사' '명사' '명사초청' '초청' '북'
 '북콘서트' '콘서트' '그림' '그림책' '공연']"
81,제10회 동화 속 책잔치,"['메인' '메인행사' '행사' '마당' '마당놀이' '놀이' '도서관' '단체' '별' '체험' '체험부스' '부스' '운영'
 '연계' '연계행사' '페이스' '페이스페인팅' '페인팅' '축하' '축하공연' '공연' '등']"
82,금천생활문화축제 엄청나,"['시' '생활문' '시각' '시각예술' '예술' '동아리' '11' '11팀' '팀' '회화' '공예' '미디어' '미디어아트'
 '아트' '등' '공연' '생활' '생활문화' '문화' '공연예술' '27' '27팀' '태권' '태권무' '무' '뮤지컬'
 '통기타']"
83,사회적경제한마당,"['사회적' '사회적경제' '경제' '마을' '마을공동체' '공동체' '밸리' '기업' '홍' '홍부' '부' '부스' '운영'
 '참여' '참여자간' '자간' '네트' '네트워킹' '워킹' '문화' '문화예술' '예술' '공연' '추진']"
84,응봉산개나리축제,"['그림' '그림그리기' '그리기' '가족' '가족백일장' '백일장' '대회' '암벽' '암벽등반체험' '등반' '체험' '사진'
 '시화' '전시' '주제' '주제공연' '공연' '문화' '문화공연' '개나리' '개나리식목행사' '식목' '행사' '기타'
 '먹거리' '장터']"
85,태조이성계축제,"['이성계' '이성계사냥행차' '사냥' '행차' '재연' '살' '다리' '보물' '1738' '1738호' '호' '테마' '공연'
 '개' '개폐막' '폐막' '주제' '체험' '체험프로그램' '프로그램' '기타' '먹거리' '먹거리장터' '장터']"
86,석촌호수 벚꽃축제,"['벚꽃' '벚꽃콘서트' '콘서트' '벚꽃공연' '공연' '벚꽃영화제' '영화제' '벚꽃조명길' '조명' '길' '하수' '하수길'
 '벚꽃포토존' '포토' '존' '벚꽃체험' '체험' '마켓']"
87,한성백제문화제,"['역사' '역사문화거리행렬' '문화' '거리' '행렬' '한성' '한성백제체험마을' '백제' '체험' '마을' '레' '레이드'
 '이드' '불' '불채화식' '채화' '식' '동명' '한성백제' '몽' '몽촌해자' '촌' '해자' '수변' '수변음악회'
 '음악회' '전국' '청소년' '동아리' '경연' '경연대회' '대회' '수변무대' '무대' '각종' '전시' '등']"
88,석촌호수 단풍&낙엽축제,"['가을' '테마' '공연' '단' '단풍' '풍' '낙엽' '포토' '포토존' '존' '야간' '야간경관조명' '경관' '조명'
 '전시' '체험' '체험프로그램' '프로그램' '낙엽길' '길' '송' '송파가을풍경' '파' '풍경' '사진전']"
89,오금동 성내천축제,"['주민' '주민노래자랑' '노래' '자랑' '자치' '자치회관' '회관' '프로그램' '발표회' '물빛' '물빛음악회' '음악회'
 '북' '페스티벌' '도서' '도서교환' '교환' '할인' '할인전' '전' '청소년' '체험' '체험부스' '부스' '농산'
 '농산물' '물' '직거래' '직거래장터' '장터' '먹거리' '먹거리장터']"
90,제21회 서울 드럼 페스티벌,"['경연' '수상자' '특별' '특별공연' '공연' '시상식' '개막식' '아티스트' '해외' '국내' '국내팀' '팀' '시민'
 '시민참여' '참여' '마스터' '마스터클래스' '클래스' '등']"
91,2019 서울 문화로 바캉스,"['영화' '영화음악제' '음악제' '디자인' '디자인그래픽' '그래픽' '경연' '눈' '조각' '조각전' '전' '문화'
 '문화시설' '시설' '아트' '아트바캉스' '바캉스' '문화시설별' '별' '자체' '프로그램' '예술' '예술영화' '상영']"
92,제6회 서울김장문화제,"['김장' '김장나눔' '나눔' '행사' '3' '우리집' '김장간' '간' '외국인' '셰프' '김장뮤' '뮤' '100'
 '100가지' '가지' '김치' '김치전' '전' '김치상상놀이터' '상상' '놀이터' '스트리트']"
