,축제명,태그
49,청룡문화제,"['어가' '어가행렬' '행렬' '청룡' '청룡제향' '제향' '축하' '축하콘서트' '콘서트' '전통문화' '체험' '체험부스'
 '부스' '운영']"
50,드래곤 IT 페스티벌,"['개막' '콘서트' '개최' '첨단' '전' '전자' '전자제품' '자제품' '제품' '대회' '체험' '전시' '판매' '상가'
 '상가별' '별' '문화' '문화공연' '공연' '벼룩시장' '등' '이벤트' '이벤트개최']"
51,"2016 이태원 지구촌
 축제","['개' '개폐막' '폐막' '공연' '주제' '주제공연' '문화' '문화공연' '세계' '세계음식전' '음식' '전' '세계풍물전'
 '풍물' '거리' '레이']"
52,서대문독립민주축제,"['생존' '생존독립민주지사' '독립' '민주' '지사' '프린팅' '테마' '체험' '교육' '교육프로그램' '프로그램' '운영'
 '4' '4개분야' '개' '분야' '30' '30여개' '여' '개막' '개막공연' '공연' '역사' '역사콘서트' '콘서트'
 '등' '문화' '문화공연']"
53,봉원사 서울연꽃문화축제,"['도심' '도심속' '속' '산사' '산사음악회' '음악회' '영산재' '연꽃' '연꽃퍼포먼스' '퍼포먼스' '국악' '마당'
 '한지' '한지공예' '공예' '연꽃페이스페인팅' '페이스' '페인팅' '등' '체험' '체험프로그램' '프로그램']"
54,"신촌크리스마스
거리축제","['크리스마스' '콘서트' '거리' '거리가게' '가게' '마켓' '체험' '체험부스' '부스' '운영' '개막식' '오프닝'
 '축하' '축하공연' '공연' '키즈' '키즈존' '존' '포토' '포토존' '등' '이벤트']"
55,제4회 신촌물총축제,"['물총' '물총싸움' '싸움' '워터' '워터슬라이드' '슬라이드' '버블' '버블파티' '파티' '퍼레이드' '예정' '쇼'
 '거리' '거리댄스' '댄스' '물총결혼식' '결혼식' '기타' '이벤트']"
56,서대문 책으로 축제,['북' '북콘서트' '콘서트' '독서' '주제' '프로그램' '낭독' '전시' '체험' '체험프로그램' '운영']
57,금천하모니 벚꽃축제,"['천인' '오케스트라' '합창' '달팽이' '마라톤' '피' '피워킹' '워킹' '주민' '주민참여프린지공연' '참여' '프린지'
 '공연' '불꽃놀이' '불꽃놀이콘서트' '콘서트' '등']"
58,백제고분제,['왕의' '행렬' '한성' '한성백제인물열전' '백제' '인물' '열전' '제천' '제천의식' '의식' '등']
59,석촌호수 봄꽃축제,['문화' '문화공연' '공연' '체험' '체험마당' '마당' '먹거리' '먹거리장터' '장터' '등']
60,2015 성내천 가을음악회,['대중' '대중음악중심' '음악' '중심' '주민' '주민참여음악회' '참여' '음악회']
61,2015 석촌호수 가을음악회,['발라드' '클래식' '국내외' '관광객' '참여' '참여음악회' '음악회' '등']
62,책 읽는 송파 북페스티벌,"['독서' '독서가족' '가족' '퀴즈' '퀴즈대회' '대회' '책' '관련' '주제' '부스' '운영' '독서문화공연' '문화'
 '공연' '가족연극' '연극' '이야기' '할머니' '할아버지' '구연' '구연동화' '동화' '도서' '도서관' '관' '어린이'
 '특별' '등' '도서전시' '전시' '독서문화체험' '체험' '행사' '30' '30여개' '여' '개' '프로그램']"
63,제16회한성백제문화제,"['역사' '역사문화거리행렬' '문화' '거리' '행렬' '한성' '한성백제체험마을' '백제' '체험' '마을' '레' '레이드'
 '이드' '불' '불채화식' '채화' '식' '동명' '한성백제' '전국' '전국창작동요' '창작' '동요' '음식' '현전'
 '예능' '청소년' '동아리' '경연' '경연대회' '대회' '몽' '몽촌해자' '촌' '해자' '수변' '수변무대' '무대'
 '각종' '전시' '등']"
64,"석촌호수
 낙엽거리축제","['낙엽' '낙엽길' '길' '조성' '테마' '공연' '전시' '체험' '체험프로그램' '프로그램' '운영' '개' '개폐막'
 '폐막' '낙엽거리' '거리' '음악회' '수변' '수변무대' '무대' '-6' '-6개' '개' '분야' '20' '20여개'
 '여' '기타' '이벤트' '상시' '등등']"
65,제9회오금동한마음축제,"['첫째' '첫째날' '날' '청소년' '여가' '여가문화동아리' '문화' '동아리' '경연' '경연대회' '대회' '둘째'
 '둘째날' '동민' '한마음' '노래' '노래자랑' '자랑' '셋째' '셋째날' '성내' '성내천' '천' '봄날' '행복'
 '음악회' '부' '부대행사' '대행사' '북' '페스티벌' '도서' '도서교환' '교환' '할인' '할인전' '전' '체험'
 '체험부스' '부스' '운영' '농수산물' '농수산물직거래' '직거래' '장터' '먹거리' '먹거리장터' '등']"
66,관악강감찬축제,"['ㅇ' '강감찬' '강감찬장군' '장군' '출병' '승전' '승전행렬' '행렬' '재현' '고려사' '테마' '공연' '전시'
 '체험' '체험프로그램운영' '프로그램' '운영' '강감찬서예대전' '서예' '대전' '테마사진공모전' '사진' '공모전' '등']"
67,4.19혁명국민문화제 2016,"['전야제' '공식' '공식행사' '행사' '4.18' '4.19' '주제' '전국' '전국대학생토론대회' '대학생' '토론'
 '대회' '개최' '전국학생그림그리기' '학생' '그림' '그리기' '글' '등' '추진' '4' '4개' '개' '분야' '30'
 '30개' '사업' '문화' '문화행사' '6' '락' '락페스티벌' '페스티벌' '419' '419풍물패' '풍물패' '참여'
 '참여행사' '16' '60' '60년대' '년대' '거리' '거리재현페레' '재현' '페' '레' '이드' '홍' '홍길' '길'
 '대장' '순례' '순례길' '트래킹' '외' '교육' '교육행사' '전국학생' '그림그리기' '글짓기' '학술' '학술토론회'
 '토론회' '전시' '전시행사' '419혁명' '혁명' '주제전시' '도서관' '삐라' '체험' '태극기' '변천사']"
68,노원탈축제,"['탈' '퍼레이드' '전통' '전통탈' '등' '전시' '만들기' '체험' '체험등' '110' '110개소' '개소'
 '체험프로그램' '프로그램' '전야제' '초청' '초청공연' '공연' '주민' '주민참여형' '참여' '형' '3' '3개' '개'
 '분야' '약' '40' '40여개' '여' '노' '역참' '도심' '도심속' '속' '추수' '추수체험' '등']"
69,태강릉·초안산궁중문화제,"['조선' '조선시대' '시대' '임금' '능' '능행길' '행길' '어가' '어가행렬' '행렬' '재현' '안골' '성제'
 '개막식' '본무대' '공연' '노' '수라간' '전통' '포토' '포토존' '존' '각종' '체험' '체험행사' '행사']"
70,서리풀페스티벌,"['서초' '서초강산퍼레이드' '강산' '퍼레이드' '정보사' '예술' '전당' '전당구간' '구간' '주민' '주민참여형퍼레이드'
 '참여' '형' '차' '거리' '거리이벤트' '이벤트' '고품' '고품격' '격' '공연' '지역' '지역사회협엽' '사회'
 '협엽' '네트워크' '관' '관내' '내' '문화' '문화예술협회' '협회' '전시' '등']"
