축제명,0,1,2,3,4,5,6
서울디저트페어 벚꽃&체리 ,서울,축제,개최,주제,대표,진행,제공
단종비 정순왕후 추모 문화제 ,문화,공연,서울,프로그램,행사,주민,지역
4·19혁명국민문화제 ,지역,문화,행사,개최,주최,구청장,기업
Lifeplus 벚꽃피크닉 ,공원,축제,개최,문화,행사,이벤트,사진
석촌호수 벚꽃축제 ,공원,문화,축제,페스티벌,공연,다양,지역
영등포 여의도봄꽃축제 ,축제,서울,한강,기자,주제,사진,일대
수양벚꽃과 함께하는 호국의 봄 열린 현충원 행사 ,축제,서울,대회,개최,행사,주제,진행
영등포여의도봄꽃축제 ,축제,서울,한강,기자,주제,사진,일대
국회개방행사 국회의 봄 ,행사,축제,공연,역사,다양,대한민국,체험
안산자락길 벚꽃음악회 ,음악,무대,서울,개최,오후,기업,프로그램
양재천 벚꽃 등(燈) 축제 ,축제,문화,예술,무대,페스티벌,서울,행사
동대문 봄꽃축제 ,축제,참여,개최,주민,이벤트,공연,구청장
구로거리공원 벚꽃축제 ,공원,거리,축제,다양,대표,사진,일대
금천 하모니 벚꽃축제 ,문화,지역,행사,주제,공연,대표,축제
응봉산 개나리축제 ,축제,한강,주민,주제,사진,구청장,시민
서울 코믹월드 ,전시,기업,기자,서울,대표,거리,축제
"서대문, 1919 그날의 함성! ",역사,공원,어린이,행사,무대,일대,주최
남산골한옥마을 정월대보름과 친구들 ,전통,우리,프로그램,행사,다양,공연,시민
국립민속박물관 정월대보름 한마당 ,문화,공연,공원,전통,행사,우리,제공
북촌한옥마을 계동마님댁 대보름 달맞이 ,축제,문화,체험,프로그램,서울,국내,한국
서울디저트페어 초코&딸기 ,서울,개최,세계,국내,주제,다양,주최
V프로젝트 GOLDEN NEW YEAR 용산아이파크몰 팝업스토어 ,서울,행사,다양,기업,한국,세계,국내
서울 코믹월드 ,전시,기업,기자,서울,대표,거리,축제
서울 아시테지 겨울축제 ,예술,공연,축제,한국,서울,국내,대한민국
서울 살롱 뒤 쇼콜라 ,기자,축제,행사,주제,오후,세계,서울
서울영상광고제 ,한국,서울,개최,한강,대한민국,공연,주최
서울영상광고제 ,한국,서울,개최,한강,대한민국,공연,주최
하늘공원해맞이행사 ,공원,축제,진행,대표,광장,구청장,음악
